"CHAR","LANGUAGE","DESC"
"DT_AT_SVC","E","ITC - Asset Tag Service"
"DT_CI_ENHA_SVC2","E","ITC 2 - Enhanced Service"
"DT_CI_SMART_SVC2","E","ITC2-Solution Using SmartImage"
"DT_CI_SVC2_PN1","E","ITC 2 -  Imaging Service 1"
"DT_CI_SVC2_PN2","E","ITC 2 -  Imaging Service 2"
"DT_CI_SVC2_PN3","E","ITC 2 -  Imaging Service 3"
"DT_CI_SVC2_PN4","E","ITC 2 -  Imaging Service 4"
"DT_CI_SVC2_PN5","E","ITC 2 -  Imaging Service 5"
"DT_CI_SVC2_PN6","E","ITC 2 -  Imaging Service 6"
"DT_CI_TYPE_SVC2","E","ITC 2 -  Project Type"
"DT_CI_WHO_SVC2","E","ITC 2 -  Who Created The Image"
"DT_CP_SVC","E","ITC - Customization (BIOS)"
"DT_HE_SVC","E","ITC - Harddrive Encryption"
"DT_ITC_CLOUD_RECOVERY","E","ITC - Cloud Recovery"
"DT_ITC_DIB","E","DT_ITC_DIB"
"DT_ITC_ESSENTIAL_IMAGE","E","ITC - Essential Image"
"DT_ITC_IMAGE_MANAGEMENT","E","ITC - Image Management"
"DT_ITC_ORAT","E","ITC - Essential Asset Tag"
"DT_VP_SVC","E","ITC - Vpro Provisioning (VPRO)"
"EP1ST_GRAPHIC_CARD_DP_DONGLE","E","1st Graphic Card DP Dongle"
"EP1ST_GRAPHIC_CARD_DVI_DONGLE","E","1st Graphic Card DVI Dongle"
"EP1ST_GRAPHIC_CARD_MDP_DONGLE","E","1st Graphic Card MiniDP Dongle"
"EP1ST_HDD_BOOT_DRIVE","E","1st HDD Boot Drive"
"EP1ST_HDD_SELECTION","E","1st HDD selection"
"EP1ST_HDD_SELECTION_QTY","E","1st HDD selection Qty"
"EP1ST_M2_SSD_BOOT_DRIVE","E","1st M.2 SSD Boot Drive"
"EP1ST_M2_SSD_QTY","E","1st M.2 SSD Qty"
"EP1ST_M2_SSD_SELECTION","E","1st M.2 SSD Selection"
"EP1ST_RAID_ARRAY","E","1st RAID Array"
"EP1STHDD_SELECTION_SIZE","E","1STHDD_SELECTION_SIZE"
"EP2ND_GRAPHIC_CARD_DP_DONGLE","E","2nd Graphic Card DP Dongle"
