"CHAR","CHARVALUE","LANGUAGE","DESC"
"DT_AT_SVC","ASSET TAG PLACEHOLDER","E","Asset Tag Placeholder"
"DT_AT_SVC","ENH_AT_SVC","E","Enh Service, Asset Tag"
"DT_AT_SVC","ENHCED SERVICE, ASSET TAG","E","Enhced Service, Asset Tag"
"DT_AT_SVC","ITC_AT_ENH","E","Enh ITC Service, Asset Tag"
"DT_AT_SVC","ITC_AT_STD","E","Std ITC Service, Asset Tag"
"DT_AT_SVC","NONE","E","NONE"
"DT_AT_SVC","STD_AT_SVC","E","Std Service, Asset Tag"
"DT_CI_ENHA_SVC2","CI_ENHA_ADS","E","Advanced Deployment Services"
"DT_CI_ENHA_SVC2","CI_ENHA_FBS","E","First Boot Services"
"DT_CI_ENHA_SVC2","CI_ENHA_IU","E","ImageUltra Builder"
"DT_CI_ENHA_SVC2","CI_ENHA_MDT","E","Microsoft Deployment Toolkit"
"DT_CI_ENHA_SVC2","NONE","E","NONE"
"DT_CI_SMART_SVC2","CI_SMART_YES","E","Yes"
"DT_CI_SMART_SVC2","NONE","E","NONE"
"DT_CI_SVC2_PN1","CI_SVC_06P7506","E","06P7506 - Std Srvc Load Fee"
"DT_CI_SVC2_PN1","NONE","E","NONE"
"DT_CI_SVC2_PN2","CI_SVC_45K2145","E","45K2145 - ADS Load Fee"
"DT_CI_SVC2_PN2","NONE","E","NONE"
"DT_CI_SVC2_PN3","CI_SVC_31P4336","E","31P4336 - IUS Load Fee"
"DT_CI_SVC2_PN3","NONE","E","NONE"
"DT_CI_SVC2_PN4","CI_SVC_06P7512","E","06P7512 - Migr/Mod/Ver.."
"DT_CI_SVC2_PN4","NONE","E","NONE"
"DT_CI_SVC2_PN5","CI_SVC_06P7508","E","06P7508 - Image Creation"
"DT_CI_SVC2_PN5","NONE","E","NONE"
"DT_CI_SVC2_PN6","CI_SVC_55Y9633","E","55Y9633 - First Boot Srvc"
"DT_CI_SVC2_PN6","NONE","E","NONE"
"DT_CI_TYPE_SVC2","CI_TYPE_BASEP","E","Base Preload + 3PO Drivers"
"DT_CI_TYPE_SVC2","CI_TYPE_IMAGE","E","Image Creation"
"DT_CI_TYPE_SVC2","CI_TYPE_MFGPR","E","Preparation for Manufacturing"
"DT_CI_TYPE_SVC2","CI_TYPE_MIGRA","E","Migration/Update"
"DT_CI_TYPE_SVC2","CI_TYPE_VERFI","E","Verification"
"DT_CI_TYPE_SVC2","NONE","E","NONE"
"DT_CI_WHO_SVC2","CI_WHO_CUSTOM","E","Customer Created"
"DT_CI_WHO_SVC2","CI_WHO_LENOVO","E","Lenovo Created"
"DT_CI_WHO_SVC2","NONE","E","NONE"
"DT_CP_SVC","ENH_CP_SVC","E","Enh Service, OS/Firmware/HW"
"DT_CP_SVC","ENHCED_SVC","E","Enhced Service, OS/Firmware/HW"
"DT_CP_SVC","ITC_CP_BIOS","E","Std ITC Service, BIOS"
"DT_CP_SVC","NONE","E","NONE"
"DT_CP_SVC","STD_CP_SVC","E","Std Service, OS/Firmware/HW"
"DT_HE_SVC","ITC_HE_BEST","E","BEST - Harddrive Encryption"
"DT_HE_SVC","ITC_HE_BETTER","E","BETTER - Harddrive Encryption"
"DT_HE_SVC","ITC_HE_GOOD","E","GOOD - Harddrive Encryption"
"DT_HE_SVC","ITC_HE_NONE","E","ITC_HE_NONE"
"DT_HE_SVC","NONE","E","NONE"
"DT_ITC_CLOUD_RECOVERY","NONE","E","None"
"DT_ITC_CLOUD_RECOVERY","RECOVERY_ONLY_1YEAR","E","Recovery Only 1Year"
"DT_ITC_CLOUD_RECOVERY","RECOVERY_ONLY_2YEAR","E","Recovery Only 2Year"
"DT_ITC_CLOUD_RECOVERY","RECOVERY_ONLY_3YEAR","E","Recovery Only 3Year"
"DT_ITC_CLOUD_RECOVERY","RECOVERY_ONLY_4YEAR","E","Recovery Only 4Year"
"DT_ITC_CLOUD_RECOVERY","RECOVERY_ONLY_5YEAR","E","Recovery Only 5Year"
"DT_ITC_DIB","ITC_DIB","E","ITC_DIB"
"DT_ITC_DIB","NONE","E","NONE"
"DT_ITC_ESSENTIAL_IMAGE","ESSENTIAL_IMAGE_SBB0L47704","E","Essential Image:SBB0L47704"
"DT_ITC_ESSENTIAL_IMAGE","NONE","E","NONE"
"DT_ITC_IMAGE_MANAGEMENT","MANAGEMENT_RECOVERY_1YEAR","E","Management&Recovery 1Year"
"DT_ITC_IMAGE_MANAGEMENT","MANAGEMENT_RECOVERY_2YEAR","E","Management&Recovery 2Year"
"DT_ITC_IMAGE_MANAGEMENT","MANAGEMENT_RECOVERY_3YEAR","E","Management&Recovery 3Year"
"DT_ITC_IMAGE_MANAGEMENT","MANAGEMENT_RECOVERY_4YEAR","E","Management&Recovery 4Year"
"DT_ITC_IMAGE_MANAGEMENT","MANAGEMENT_RECOVERY_5YEAR","E","Management&Recovery 5Year"
"DT_ITC_IMAGE_MANAGEMENT","NONE","E","None"
"DT_ITC_ORAT","ITC_ORAT","E","Essential Asset Tag"
"DT_ITC_ORAT","NONE","E","NONE"
"DT_VP_SVC","ITC_VP_NONE","E","ITC_VP_NONE"
"DT_VP_SVC","ITC_VP_VPRO","E","vPro Factory Provisioning"
"DT_VP_SVC","NONE","E","NONE"
"EP1ST_GRAPHIC_CARD_DP_DONGLE","2X_DP TO 2XDP DONGLE","E","2xDP to 2xDP dongle"
"EP1ST_GRAPHIC_CARD_DP_DONGLE","2XDISPLAY PORT TO HDMI DONGLE","E","2xDisplay Port to HDMI dongle"
"EP1ST_GRAPHIC_CARD_DP_DONGLE","2XDISPLAYPORT TO DVI DONGLE","E","2xDisplayPort to DVI dongle"
"EP1ST_GRAPHIC_CARD_DP_DONGLE","2XDP TO DVI 2LINK DONGLE","E","2xDP to DVI (2link) dongle"
"EP1ST_GRAPHIC_CARD_DP_DONGLE","2XDP TO VGA DONGLE","E","2xDisplay Port to VGA dongle"
"EP1ST_GRAPHIC_CARD_DP_DONGLE","2XDP_TO_DUAL_DP","E","2xDP to Dual DP"
"EP1ST_GRAPHIC_CARD_DP_DONGLE","2XDP_TO_DVI_DL","E","2xDP to DVI DL"
"EP1ST_GRAPHIC_CARD_DP_DONGLE","2XDP_TO_DVI_SL","E","2xDP to DVI SL"
"EP1ST_GRAPHIC_CARD_DP_DONGLE","2XDP_TO_HDMI","E","2xDP to HDMI"
"EP1ST_GRAPHIC_CARD_DP_DONGLE","2XDP_TO_VGA","E","2xDP to VGA"
"EP1ST_GRAPHIC_CARD_DP_DONGLE","3X_DP TO 2XDP DONGLE","E","3xDP to 2xDP dongle"
"EP1ST_GRAPHIC_CARD_DP_DONGLE","3XDISPLAY PORT TO HDMI DONGLE","E","3xDisplay Port to HDMI dongle"
"EP1ST_GRAPHIC_CARD_DP_DONGLE","3XDISPLAYPORT TO DVI DONGLE","E","3xDisplayPort to DVI dongle"
"EP1ST_GRAPHIC_CARD_DP_DONGLE","3XDP TO DVI 2LINK DONGLE","E","3xDP to DVI (2link) dongle"
"EP1ST_GRAPHIC_CARD_DP_DONGLE","3XDP TO VGA DONGLE","E","3xDisplay Port to VGA dongle"
"EP1ST_GRAPHIC_CARD_DP_DONGLE","3XDP_TO_DUAL_DP","E","3xDP to Dual DP"
"EP1ST_GRAPHIC_CARD_DP_DONGLE","3XDP_TO_DVI_DL","E","3xDP to DVI DL"
"EP1ST_GRAPHIC_CARD_DP_DONGLE","3XDP_TO_DVI_SL","E","3xDP to DVI SL"
"EP1ST_GRAPHIC_CARD_DP_DONGLE","3XDP_TO_HDMI","E","3xDP to HDMI"
"EP1ST_GRAPHIC_CARD_DP_DONGLE","3XDP_TO_VGA","E","3xDP to VGA"
"EP1ST_GRAPHIC_CARD_DP_DONGLE","4X_DP TO 2XDP DONGLE","E","4xDP to 2xDP dongle"
"EP1ST_GRAPHIC_CARD_DP_DONGLE","4XDISPLAY PORT TO HDMI DONGLE","E","4xDisplay Port to HDMI dongle"
"EP1ST_GRAPHIC_CARD_DP_DONGLE","4XDISPLAYPORT TO DVI DONGLE","E","4xDisplayPort to DVI dongle"
"EP1ST_GRAPHIC_CARD_DP_DONGLE","4XDP TO DVI 2LINK DONGLE","E","4xDP to DVI (2link) dongle"
"EP1ST_GRAPHIC_CARD_DP_DONGLE","4XDP TO VGA DONGLE","E","4xDisplay Port to VGA dongle"
"EP1ST_GRAPHIC_CARD_DP_DONGLE","4XDP_TO_DUAL_DP","E","4xDP to Dual DP"
"EP1ST_GRAPHIC_CARD_DP_DONGLE","4XDP_TO_DVI_DL","E","4xDP to DVI DL"
"EP1ST_GRAPHIC_CARD_DP_DONGLE","4XDP_TO_DVI_SL","E","4xDP to DVI SL"
"EP1ST_GRAPHIC_CARD_DP_DONGLE","4XDP_TO_HDMI","E","4xDP to HDMI"
"EP1ST_GRAPHIC_CARD_DP_DONGLE","4XDP_TO_VGA","E","4xDP to VGA"
"EP1ST_GRAPHIC_CARD_DP_DONGLE","5XDISPLAY_PORT_TO_HDMI_DONGLE","E","5xDisplay Port to HDMI dongle"
"EP1ST_GRAPHIC_CARD_DP_DONGLE","5XDISPLAY_PORT_TO_VGA_DONGLE","E","5xDisplay Port to VGA dongle"
"EP1ST_GRAPHIC_CARD_DP_DONGLE","5XDISPLAYPORT_TO_DVI_DONGLE","E","5xDisplayPort to DVI dongle"
"EP1ST_GRAPHIC_CARD_DP_DONGLE","5XDP_TO_DUAL_DP","E","5xDP to Dual DP"
"EP1ST_GRAPHIC_CARD_DP_DONGLE","5XDP_TO_DVI_2LINK_DONGLE","E","5xDP to DVI (2link) dongle"
"EP1ST_GRAPHIC_CARD_DP_DONGLE","5XDP_TO_DVI_DL","E","5xDP to DVI DL"
