"MATERIAL","CHAR","CHARVALUE"
"30ATCTO1WW","DT_AT_SVC","ITC_AT_ENH"
"30ATCTO1WW","DT_AT_SVC","ITC_AT_STD"
"30ATCTO1WW","DT_AT_SVC","NONE"
"30ATCTO1WW","DT_CI_ENHA_SVC2","CI_ENHA_ADS"
"30ATCTO1WW","DT_CI_ENHA_SVC2","CI_ENHA_FBS"
"30ATCTO1WW","DT_CI_ENHA_SVC2","CI_ENHA_IU"
"30ATCTO1WW","DT_CI_ENHA_SVC2","CI_ENHA_MDT"
"30ATCTO1WW","DT_CI_ENHA_SVC2","NONE"
"30ATCTO1WW","DT_CI_SMART_SVC2","CI_SMART_YES"
"30ATCTO1WW","DT_CI_SMART_SVC2","NONE"
"30ATCTO1WW","DT_CI_SVC2_PN1","CI_SVC_06P7506"
"30ATCTO1WW","DT_CI_SVC2_PN1","NONE"
"30ATCTO1WW","DT_CI_SVC2_PN2","CI_SVC_45K2145"
"30ATCTO1WW","DT_CI_SVC2_PN2","NONE"
"30ATCTO1WW","DT_CI_SVC2_PN3","CI_SVC_31P4336"
"30ATCTO1WW","DT_CI_SVC2_PN3","NONE"
"30ATCTO1WW","DT_CI_SVC2_PN4","CI_SVC_06P7512"
"30ATCTO1WW","DT_CI_SVC2_PN4","NONE"
"30ATCTO1WW","DT_CI_SVC2_PN5","CI_SVC_06P7508"
"30ATCTO1WW","DT_CI_SVC2_PN5","NONE"
"30ATCTO1WW","DT_CI_SVC2_PN6","CI_SVC_55Y9633"
"30ATCTO1WW","DT_CI_SVC2_PN6","NONE"
"30ATCTO1WW","DT_CI_TYPE_SVC2","CI_TYPE_BASEP"
"30ATCTO1WW","DT_CI_TYPE_SVC2","CI_TYPE_IMAGE"
"30ATCTO1WW","DT_CI_TYPE_SVC2","CI_TYPE_MFGPR"
"30ATCTO1WW","DT_CI_TYPE_SVC2","CI_TYPE_MIGRA"
"30ATCTO1WW","DT_CI_TYPE_SVC2","CI_TYPE_VERFI"
"30ATCTO1WW","DT_CI_TYPE_SVC2","NONE"
"30ATCTO1WW","DT_CI_WHO_SVC2","CI_WHO_CUSTOM"
"30ATCTO1WW","DT_CI_WHO_SVC2","CI_WHO_LENOVO"
"30ATCTO1WW","DT_CI_WHO_SVC2","NONE"
"30ATCTO1WW","DT_CP_SVC","ITC_CP_BIOS"
"30ATCTO1WW","DT_CP_SVC","NONE"
