"MATERIAL","CHAR","CHARVALUE","ACTIVE"
"30ATCTO1WW","DT_AT_SVC","ITC_AT_ENH","X"
"30ATCTO1WW","DT_AT_SVC","ITC_AT_STD","X"
"30ATCTO1WW","DT_AT_SVC","NONE","X"
"30ATCTO1WW","DT_CI_ENHA_SVC2","CI_ENHA_ADS","X"
"30ATCTO1WW","DT_CI_ENHA_SVC2","CI_ENHA_FBS","X"
"30ATCTO1WW","DT_CI_ENHA_SVC2","CI_ENHA_IU","X"
"30ATCTO1WW","DT_CI_ENHA_SVC2","CI_ENHA_MDT","X"
"30ATCTO1WW","DT_CI_ENHA_SVC2","NONE","X"
"30ATCTO1WW","DT_CI_SMART_SVC2","CI_SMART_YES","X"
"30ATCTO1WW","DT_CI_SMART_SVC2","NONE","X"
"30ATCTO1WW","DT_CI_SVC2_PN1","CI_SVC_06P7506","X"
"30ATCTO1WW","DT_CI_SVC2_PN1","NONE","X"
"30ATCTO1WW","DT_CI_SVC2_PN2","CI_SVC_45K2145","X"
"30ATCTO1WW","DT_CI_SVC2_PN2","NONE","X"
"30ATCTO1WW","DT_CI_SVC2_PN3","CI_SVC_31P4336","X"
"30ATCTO1WW","DT_CI_SVC2_PN3","NONE","X"
"30ATCTO1WW","DT_CI_SVC2_PN4","CI_SVC_06P7512","X"
"30ATCTO1WW","DT_CI_SVC2_PN4","NONE","X"
"30ATCTO1WW","DT_CI_SVC2_PN5","CI_SVC_06P7508","X"
"30ATCTO1WW","DT_CI_SVC2_PN5","NONE","X"
"30ATCTO1WW","DT_CI_SVC2_PN6","CI_SVC_55Y9633","X"
"30ATCTO1WW","DT_CI_SVC2_PN6","NONE","X"
"30ATCTO1WW","DT_CI_TYPE_SVC2","CI_TYPE_BASEP","X"
"30ATCTO1WW","DT_CI_TYPE_SVC2","CI_TYPE_IMAGE","X"
"30ATCTO1WW","DT_CI_TYPE_SVC2","CI_TYPE_MFGPR","X"
"30ATCTO1WW","DT_CI_TYPE_SVC2","CI_TYPE_MIGRA","X"
"30ATCTO1WW","DT_CI_TYPE_SVC2","CI_TYPE_VERFI","X"
"30ATCTO1WW","DT_CI_TYPE_SVC2","NONE","X"
"30ATCTO1WW","DT_CI_WHO_SVC2","CI_WHO_CUSTOM","X"
"30ATCTO1WW","DT_CI_WHO_SVC2","CI_WHO_LENOVO","X"
"30ATCTO1WW","DT_CI_WHO_SVC2","NONE","X"
"30ATCTO1WW","DT_CP_SVC","ITC_CP_BIOS","X"
"30ATCTO1WW","DT_CP_SVC","NONE","X"
"30ATCTO1WW","DT_HE_SVC","ITC_HE_BEST","X"
"30ATCTO1WW","DT_HE_SVC","ITC_HE_BETTER","X"
"30ATCTO1WW","DT_HE_SVC","ITC_HE_GOOD","X"
"30ATCTO1WW","DT_HE_SVC","NONE","X"
"30ATCTO1WW","DT_ITC_CLOUD_RECOVERY","NONE","X"
"30ATCTO1WW","DT_ITC_CLOUD_RECOVERY","RECOVERY_ONLY_1YEAR","X"
"30ATCTO1WW","DT_ITC_CLOUD_RECOVERY","RECOVERY_ONLY_2YEAR","X"
"30ATCTO1WW","DT_ITC_CLOUD_RECOVERY","RECOVERY_ONLY_3YEAR","X"
"30ATCTO1WW","DT_ITC_CLOUD_RECOVERY","RECOVERY_ONLY_4YEAR","X"
"30ATCTO1WW","DT_ITC_CLOUD_RECOVERY","RECOVERY_ONLY_5YEAR","X"
"30ATCTO1WW","DT_ITC_DIB","ITC_DIB","X"
"30ATCTO1WW","DT_ITC_DIB","NONE","X"
"30ATCTO1WW","DT_ITC_ESSENTIAL_IMAGE","ESSENTIAL_IMAGE_SBB0L47704","X"
"30ATCTO1WW","DT_ITC_ESSENTIAL_IMAGE","NONE","X"
"30ATCTO1WW","DT_ITC_IMAGE_MANAGEMENT","MANAGEMENT_RECOVERY_1YEAR","X"
"30ATCTO1WW","DT_ITC_IMAGE_MANAGEMENT","MANAGEMENT_RECOVERY_2YEAR","X"
"30ATCTO1WW","DT_ITC_IMAGE_MANAGEMENT","MANAGEMENT_RECOVERY_3YEAR","X"
"30ATCTO1WW","DT_ITC_IMAGE_MANAGEMENT","MANAGEMENT_RECOVERY_4YEAR","X"
"30ATCTO1WW","DT_ITC_IMAGE_MANAGEMENT","MANAGEMENT_RECOVERY_5YEAR","X"
"30ATCTO1WW","DT_ITC_IMAGE_MANAGEMENT","NONE","X"
"30ATCTO1WW","DT_ITC_ORAT","ITC_ORAT","X"
"30ATCTO1WW","DT_ITC_ORAT","NONE","X"
"30ATCTO1WW","DT_VP_SVC","ITC_VP_VPRO","X"
"30ATCTO1WW","DT_VP_SVC","NONE","X"
"30ATCTO1WW","EP1ST_GRAPHIC_CARD_DP_DONGLE","2X_DP TO 2XDP DONGLE","X"
"30ATCTO1WW","EP1ST_GRAPHIC_CARD_DP_DONGLE","2XDISPLAY PORT TO HDMI DONGLE","X"
"30ATCTO1WW","EP1ST_GRAPHIC_CARD_DP_DONGLE","2XDISPLAYPORT TO DVI DONGLE","X"
"30ATCTO1WW","EP1ST_GRAPHIC_CARD_DP_DONGLE","2XDP TO DVI 2LINK DONGLE","X"
"30ATCTO1WW","EP1ST_GRAPHIC_CARD_DP_DONGLE","2XDP TO VGA DONGLE","X"
"30ATCTO1WW","EP1ST_GRAPHIC_CARD_DP_DONGLE","3X_DP TO 2XDP DONGLE","X"
"30ATCTO1WW","EP1ST_GRAPHIC_CARD_DP_DONGLE","3XDISPLAY PORT TO HDMI DONGLE","X"
"30ATCTO1WW","EP1ST_GRAPHIC_CARD_DP_DONGLE","3XDISPLAYPORT TO DVI DONGLE","X"
"30ATCTO1WW","EP1ST_GRAPHIC_CARD_DP_DONGLE","3XDP TO DVI 2LINK DONGLE","X"
"30ATCTO1WW","EP1ST_GRAPHIC_CARD_DP_DONGLE","3XDP TO VGA DONGLE","X"
"30ATCTO1WW","EP1ST_GRAPHIC_CARD_DP_DONGLE","4X_DP TO 2XDP DONGLE","X"
"30ATCTO1WW","EP1ST_GRAPHIC_CARD_DP_DONGLE","4XDISPLAY PORT TO HDMI DONGLE","X"
"30ATCTO1WW","EP1ST_GRAPHIC_CARD_DP_DONGLE","4XDISPLAYPORT TO DVI DONGLE","X"
"30ATCTO1WW","EP1ST_GRAPHIC_CARD_DP_DONGLE","4XDP TO DVI 2LINK DONGLE","X"
"30ATCTO1WW","EP1ST_GRAPHIC_CARD_DP_DONGLE","4XDP TO VGA DONGLE","X"
"30ATCTO1WW","EP1ST_GRAPHIC_CARD_DP_DONGLE","DISPLAY PORT TO HDMI DONGLE","X"
"30ATCTO1WW","EP1ST_GRAPHIC_CARD_DP_DONGLE","DISPLAYPORT TO DVI DONGLE","X"
"30ATCTO1WW","EP1ST_GRAPHIC_CARD_DP_DONGLE","DP TO 2XDP DONGLE","X"
"30ATCTO1WW","EP1ST_GRAPHIC_CARD_DP_DONGLE","DP TO DVI 2LINK DONGLE","X"
"30ATCTO1WW","EP1ST_GRAPHIC_CARD_DP_DONGLE","DP TO VGA DONGLE","X"
"30ATCTO1WW","EP1ST_GRAPHIC_CARD_DP_DONGLE","NO GRAPHICS DONGLE SELECTED","X"
"30ATCTO1WW","EP1ST_GRAPHIC_CARD_DVI_DONGLE","DVI TO VGA DONGLE","X"
"30ATCTO1WW","EP1ST_GRAPHIC_CARD_DVI_DONGLE","NO GRAPHICS DONGLE SELECTED","X"
"30ATCTO1WW","EP1ST_GRAPHIC_CARD_MDP_DONGLE","2XMINI DP TO DP DONGLE","X"
"30ATCTO1WW","EP1ST_GRAPHIC_CARD_MDP_DONGLE","2XMINI DP TO HDMI CONVERTER","X"
"30ATCTO1WW","EP1ST_GRAPHIC_CARD_MDP_DONGLE","2XMINIDP TO DVI SL CONVERTER","X"
"30ATCTO1WW","EP1ST_GRAPHIC_CARD_MDP_DONGLE","3XMINI DP TO DP DONGLE","X"
"30ATCTO1WW","EP1ST_GRAPHIC_CARD_MDP_DONGLE","3XMINI DP TO HDMI CONVERTER","X"
"30ATCTO1WW","EP1ST_GRAPHIC_CARD_MDP_DONGLE","3XMINIDP TO DVI SL CONVERTER","X"
"30ATCTO1WW","EP1ST_GRAPHIC_CARD_MDP_DONGLE","4XMINI DP TO DP DONGLE","X"
"30ATCTO1WW","EP1ST_GRAPHIC_CARD_MDP_DONGLE","4XMINI DP TO HDMI CONVERTER","X"
"30ATCTO1WW","EP1ST_GRAPHIC_CARD_MDP_DONGLE","4XMINIDP TO DVI SL CONVERTER","X"
"30ATCTO1WW","EP1ST_GRAPHIC_CARD_MDP_DONGLE","5XMINI DP TO DP DONGLE","X"
"30ATCTO1WW","EP1ST_GRAPHIC_CARD_MDP_DONGLE","6XMINI DP TO DP DONGLE","X"
"30ATCTO1WW","EP1ST_GRAPHIC_CARD_MDP_DONGLE","7XMINI DP TO DP DONGLE","X"
"30ATCTO1WW","EP1ST_GRAPHIC_CARD_MDP_DONGLE","8XMINI DP TO DP DONGLE","X"
"30ATCTO1WW","EP1ST_GRAPHIC_CARD_MDP_DONGLE","MINI DP TO DP DONGLE","X"
"30ATCTO1WW","EP1ST_GRAPHIC_CARD_MDP_DONGLE","MINI DP TO DVI SL CONVERTER","X"
"30ATCTO1WW","EP1ST_GRAPHIC_CARD_MDP_DONGLE","MINI DP TO HDMI CONVERTER","X"
"30ATCTO1WW","EP1ST_GRAPHIC_CARD_MDP_DONGLE","NO GRAPHICS DONGLE SELECTED","X"
"30ATCTO1WW","EP1ST_HDD_BOOT_DRIVE","NO","X"
"30ATCTO1WW","EP1ST_HDD_BOOT_DRIVE","YES","X"
"30ATCTO1WW","EP1ST_HDD_SELECTION","1TB HYBRID HDD SATA 3.5","X"
"30ATCTO1WW","EP1ST_HDD_SELECTION","2.5_128GB SATA SSD","X"
"30ATCTO1WW","EP1ST_HDD_SELECTION","2.5_180GB SATA SSD OPAL",""
"30ATCTO1WW","EP1ST_HDD_SELECTION","2.5_1TB SATA SSD NON_OPAL","X"
"30ATCTO1WW","EP1ST_HDD_SELECTION","2.5_240GB SATA SSD OPAL","X"
"30ATCTO1WW","EP1ST_HDD_SELECTION","2.5_256GB SATA SSD NON_OPAL","X"
"30ATCTO1WW","EP1ST_HDD_SELECTION","2.5_256GB SATA SSD OPAL","X"
"30ATCTO1WW","EP1ST_HDD_SELECTION","2.5_480GB SATA SSD OPAL","X"
"30ATCTO1WW","EP1ST_HDD_SELECTION","2.5_512GB SATA SSD","X"
"30ATCTO1WW","EP1ST_HDD_SELECTION","2.5_512GB_SATA_SSD_OPAL","X"
"30ATCTO1WW","EP1ST_HDD_SELECTION","2TB HYBRID HDD SATA 3.5","X"
"30ATCTO1WW","EP1ST_HDD_SELECTION","3.5_1TB SATA HDD 7200RPM","X"
"30ATCTO1WW","EP1ST_HDD_SELECTION","3.5_2TB SATA HDD 7200RPM","X"
"30ATCTO1WW","EP1ST_HDD_SELECTION","3.5_3TB SATA HDD 7200RPM","X"
"30ATCTO1WW","EP1ST_HDD_SELECTION","3.5_4TB SATA HDD 7200RPM","X"
"30ATCTO1WW","EP1ST_HDD_SELECTION","3.5_500GB SATA HDD 7200RPM","X"
"30ATCTO1WW","EP1ST_HDD_SELECTION","3.5_6TB_SATA_HDD_7200_RPM","X"
"30ATCTO1WW","EP1ST_HDD_SELECTION","NO_1ST HDD SELECTED","X"
"30ATCTO1WW","EP1ST_M2_SSD_BOOT_DRIVE","NO","X"
"30ATCTO1WW","EP1ST_M2_SSD_BOOT_DRIVE","YES","X"
"30ATCTO1WW","EP1ST_M2_SSD_SELECTION","M.2 256GB PCIE GEN3 OPAL NVME","X"
"30ATCTO1WW","EP1ST_M2_SSD_SELECTION","M.2 512GB PCIE GEN3 NVME","X"
"30ATCTO1WW","EP1ST_M2_SSD_SELECTION","M.2_1TB_PCIE_GEN_3_OPAL_NVME","X"
"30ATCTO1WW","EP1ST_M2_SSD_SELECTION","NO_1ST M.2 SSD SELECTED","X"
"30ATCTO1WW","EP1ST_RAID_ARRAY","NO_1ST RAID SELECTED","X"
"30ATCTO1WW","EP1ST_RAID_ARRAY","RAID 0","X"
"30ATCTO1WW","EP1ST_RAID_ARRAY","RAID 1_2 HDDS MIN","X"
"30ATCTO1WW","EP1ST_RAID_ARRAY","RAID 10_4 HDDS MIN","X"
"30ATCTO1WW","EP1ST_RAID_ARRAY","RAID 5_3 HDDS MIN","X"
"30ATCTO1WW","EP2ND_GRAPHIC_CARD_DP_DONGLE","2X_DP TO 2XDP DONGLE","X"
"30ATCTO1WW","EP2ND_GRAPHIC_CARD_DP_DONGLE","2XDISPLAY PORT TO HDMI DONGLE","X"
"30ATCTO1WW","EP2ND_GRAPHIC_CARD_DP_DONGLE","2XDISPLAYPORT TO DVI DONGLE","X"
"30ATCTO1WW","EP2ND_GRAPHIC_CARD_DP_DONGLE","2XDP TO DVI 2LINK DONGLE","X"
"30ATCTO1WW","EP2ND_GRAPHIC_CARD_DP_DONGLE","2XDP TO VGA DONGLE","X"
