"MATERIAL","VARTAB"
"30ATCTO1WW","P310_1394_CABLE"
"30ATCTO1WW","P310_ADOBE_OFFICE"
"30ATCTO1WW","P310_AT_ORAT"
"30ATCTO1WW","P310_BOOT_DRIVE"
"30ATCTO1WW","P310_COU_ADO_ACR"
"30ATCTO1WW","P310_COU_ADOBESW"
"30ATCTO1WW","P310_COU_KYB"
"30ATCTO1WW","P310_COU_LINECORD"
"30ATCTO1WW","P310_COU_MCAFE"
"30ATCTO1WW","P310_COU_MOUSE"
"30ATCTO1WW","P310_COU_NORTON"
"30ATCTO1WW","P310_COU_OS_DPK"
"30ATCTO1WW","P310_COU_OS_FACE"
"30ATCTO1WW","P310_COU_OS_OFFICE"
"30ATCTO1WW","P310_COU_OS_RDVD"
"30ATCTO1WW","P310_COU_PUB"
"30ATCTO1WW","P310_COUN_OS_ODD"
"30ATCTO1WW","P310_CPU_CPUTYPE"
"30ATCTO1WW","P310_CPU_MEMORY"
"30ATCTO1WW","P310_CPU_VA1_VA2"
"30ATCTO1WW","P310_CPUTY_THERMAL"
"30ATCTO1WW","P310_ESATA_FASE"
"30ATCTO1WW","P310_ETHERNETTYPE1"
"30ATCTO1WW","P310_ETHERNETTYPE2"
"30ATCTO1WW","P310_FRONT_HDD"
"30ATCTO1WW","P310_HDD_SEQUENCE"
"30ATCTO1WW","P310_HDD1_HDD2_QTY"
"30ATCTO1WW","P310_HDD1_SIZE"
"30ATCTO1WW","P310_HDD2_SIZE"
"30ATCTO1WW","P310_IMG_CLR_TBL"
"30ATCTO1WW","P310_ITC_SVC_TBL"
"30ATCTO1WW","P310_KYB_KYBTYPE"
"30ATCTO1WW","P310_KYB_MS_PS2CBL"
"30ATCTO1WW","P310_M2_QTY_BOOT"
"30ATCTO1WW","P310_MEMORYVOLUME"
"30ATCTO1WW","P310_NORTON_MCAFE"
"30ATCTO1WW","P310_OS_M2SSD_CPU"
"30ATCTO1WW","P310_OS_MCAFEE"
"30ATCTO1WW","P310_OS_PROV_DPK"
"30ATCTO1WW","P310_OSTY_ESSE_TBL"
"30ATCTO1WW","P310_PF_ALOW_M2HDD"
"30ATCTO1WW","P310_PRELANG_TYPE"
"30ATCTO1WW","P310_PREOS_ADO_ACR"
"30ATCTO1WW","P310_PREOS_ADOBESW"
"30ATCTO1WW","P310_PREOS_ESS_TBL"
"30ATCTO1WW","P310_PREOS_LANG"
"30ATCTO1WW","P310_PREOS_NORTON"
"30ATCTO1WW","P310_PREOS_OFFICE"
"30ATCTO1WW","P310_PREOS_RDVD"
